matchId,timestamp,clubid,TeamnSide,passa,passc,ppg,ppo,shots,toa,detailsname,detailsclubId,clubid,playerid,Teamside,brksavepct,brksaves,brkshots,dsaves,ga,gaa,pensavepct,pensaves,penshots,pkclearzone,pokechecks,savepct,saves,shots,soperiods,opponentClubId,position,posSorted,ratingDefense,ratingOffense,ratingTeamplay,assists,bs,deflections,fol,fopct,fow,giveaways,goals,gwg,hits,interceptions,passattempts,passes,passpct,penaltiesdrawn,pim,pkclearzone,plusmin,possession,ppg,saucerpasses,shg,shotattempts,shotonnetpct,shotpct,shots,takeaways,toiseconds,playername
"2234705530498",1661657182,"","","","","","","","","","","79718","800554172","1","0.00","0","0","0","0","0.00","0.00","0","0","0","0","0.00","0","0","0","145078","defenseMen","1","90.00","95.00","70.00","2","1","0","0","0.00","0","10","1","0","6","4","26","20","76.92","0","2","3","5","221","0","2","0","1","100.00","100.00","1","1","3481","Martinez1225"
"2234705530498",1661657182,"","","","","","","","","","","79718","858674479","1","0.00","0","1","0","3","3.00","0.00","0","0","0","0","0.83","15","18","0","145078","goalie","0","75.00","75.00","60.00","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0.00","0.00","0","0","3600","MacShrimp"
"2234705530498",1661657182,"","","","","","","","","","","79718","858674479","1","0.00","0","1","0","3","3.00","0.00","0","0","0","0","0.83","15","18","0","145078","goalie","0","75.00","75.00","60.00","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","0.00","0.00","0","0","3600","MacShrimp"
"2234705530498",1661657182,"","","","","","","","","","","79718","1183100664","1","0.00","0","0","0","0","0.00","0.00","0","0","0","0","0.00","0","0","0","145078","center","5","100.00","80.00","65.00","2","0","0","18","43.75","14","1","0","0","1","2","16","12","75.00","0","0","3","5","103","0","0","0","1","200.00","0.00","2","2","3600","Rakkarak"
"2234705530498",1661657182,"","","","","","","","","","","79718","1183100664","1","0.00","0","0","0","0","0.00","0.00","0","0","0","0","0.00","0","0","0","145078","center","5","100.00","80.00","65.00","2","0","0","18","43.75","14","1","0","0","1","2","16","12","75.00","0","0","3","5","103","0","0","0","1","200.00","0.00","2","2","3600","Rakkarak"
"2234741890273",1661655181,"79718","1","58","44","2","2","9","304","NZHL Memphis Make A Wish",79718,"145078","169580763","0","0.00","0","0","0","0","0.00","0.00","0","0","0","0","0.00","0","0","0","79718","rightWing","3","65.00","60.00","35.00","1","0","0","0","0.00","0","6","0","0","0","5","15","11","73.33","0","2","0","0","153","0","0","0","2","50.00","0.00","1","5","2353","Ababo"
"2234741890273",1661655181,"145078","0","55","41","0","1","6","205","NZHL LOCAL CRAFT BEER",145078,"145078","174908181","0","0.00","0","0","0","0","0.00","0.00","0","0","0","0","0.00","0","0","0","79718","defenseMen","1","60.00","55.00","65.00","0","0","0","0","0.00","0","5","0","0","2","3","12","9","75.00","0","0","0","0","116","0","0","0","1","0.00","0.00","0","3","2400","mikezaw4458"
"2234741890273",1661655181,"","","","","","","","","","","145078","181235555","0","0.00","0","0","0","0","0.00","0.00","0","0","0","0","0.00","0","0","0","79718","center","5","80.00","90.00","60.00","1","1","0","11","42.11","8","6","1","0","0","4","11","9","81.82","1","0","0","0","126","0","0","0","3","66.67","50.00","2","4","2400","LedvinKa"
"2234741890273",1661655181,"","","","","","","","","","","145078","181235555","0","0.00","0","0","0","0","0.00","0.00","0","0","0","0","0.00","0","0","0","79718","center","5","80.00","90.00","60.00","1","1","0","11","42.11","8","6","1","0","0","4","11","9","81.82","1","0","0","0","126","0","0","0","3","66.67","50.00","2","4","2400","LedvinKa"
"2234741890273",1661655181,"","","","","","","","","","","145078","1627813040","0","0.00","0","0","0","0","0.00","0.00","0","0","0","0","0.00","0","0","0","79718","leftWing","4","65.00","65.00","55.00","0","0","0","0","0.00","0","7","1","0","6","3","8","5","62.50","0","2","0","0","142","0","0","0","5","60.00","33.33","3","3","2311","Justn I87I"
