matchId,timestamp,clubid,passa,passc,ppg,ppo,shots,toa,detailsname,detailsclubId,clubid,playerid,brksavepct,brksaves,brkshots,dsaves,ga,gaa,pensavepct,pensaves,penshots,pkclearzone,pokechecks,savepct,saves,shots,soperiods,opponentClubId,position,posSorted,ratingDefense,ratingOffense,ratingTeamplay,assists,bs,deflections,fol,fopct,fow,giveaways,goals,gwg,hits,interceptions,passattempts,passes,passpct,penaltiesdrawn,pim,pkclearzone,plusmin,possession,ppg,saucerpasses,shg,shotattempts,shotonnetpct,shotpct,shots,takeaways,toiseconds,playername
2.2862E+12,1662693322,79718,68,50,1,3,5,148,NZHL Memphis Make A Wish,79718,79718,169795458,0,0,0,1,2,2,0,0,0,0,0,0.89,17,19,0,95303,goalie,0,75,80,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3597,TripAcez
2.2862E+12,1662693322,95303,120,90,1,4,19,459,LG Flames,95303,79718,273323046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95303,rightWing,3,100,80,60,3,0,0,0,0,0,7,0,0,3,8,14,8,57.14,0,0,1,1,156,0,0,0,1,0,0,0,6,3600,Gronk x L87L
2.2862E+12,1662693322,,,,,,,,,,79718,515447555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95303,defenseMen,2,70,80,85,1,0,0,0,0,0,12,1,0,9,4,18,15,83.33,0,2,1,1,270,1,3,0,1,100,100,1,3,3481,vShotsy
2.2862E+12,1662693322,,,,,,,,,,79718,800554172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95303,defenseMen,1,100,65,70,1,2,0,0,0,0,6,0,0,2,6,16,12,75,1,0,3,1,245,0,1,0,0,0,0,0,2,3600,Martinez1225
2.2862E+12,1662693322,,,,,,,,,,79718,1183100664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95303,center,5,70,65,80,1,3,0,17,41.38,12,0,0,0,3,3,8,6,75,1,0,0,1,53,0,0,0,0,0,0,0,0,3600,Rakkarak
2.2862E+12,1662693322,,,,,,,,,,79718,1819999331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95303,leftWing,4,60,85,25,0,0,0,0,0,0,6,2,1,5,3,9,6,66.67,1,6,0,1,106,0,0,0,3,100,66.67,3,2,3270,Bo Horvat Jr
2.2862E+12,1662693322,,,,,,,,,,95303,170041882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79718,defenseMen,2,90,90,65,1,1,0,0,100,1,8,1,0,0,5,33,29,87.88,0,0,5,-1,474,0,3,0,7,57.14,25,4,5,3600,TheHeroicDuck
2.2862E+12,1662693322,,,,,,,,,,95303,182978271,0,0,0,0,3,3,0,0,0,0,1,0.4,2,5,0,79718,goalie,0,65,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,Dethmaul
2.2862E+12,1662693322,,,,,,,,,,95303,225816797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79718,center,5,85,100,65,1,0,0,12,55.56,15,6,0,0,5,2,24,18,75,0,2,0,-1,130,0,0,0,1,100,0,1,2,3578,Hoots l16l
2.2862E+12,1662693322,,,,,,,,,,95303,876007698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79718,defenseMen,1,75,60,60,0,0,0,0,0,0,8,0,0,3,5,22,15,68.18,1,2,0,-1,243,0,0,0,4,50,0,2,3,3480,Fullsend3174
