matchId,timestamp,clubid,passa,passc,ppg,ppo,shots,toa,detailsname,detailsclubId,clubid,playerid,brksavepct,brksaves,brkshots,dsaves,ga,gaa,pensavepct,pensaves,penshots,pkclearzone,pokechecks,savepct,saves,shots,soperiods,opponentClubId,position,posSorted,ratingDefense,ratingOffense,ratingTeamplay,assists,bs,deflections,fol,fopct,fow,giveaways,goals,gwg,hits,interceptions,passattempts,passes,passpct,penaltiesdrawn,pim,pkclearzone,plusmin,possession,ppg,saucerpasses,shg,shotattempts,shotonnetpct,shotpct,shots,takeaways,toiseconds,playername
2.28444E+12,1662694897,71240,61,45,1,1,11,276,Anxiety,71240,155815,960725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71240,defenseMen,2,65,65,60,0,1,0,0,0,0,1,0,0,1,2,6,5,83.33,1,0,1,4,39,0,0,0,0,0,0,0,2,2381,JDJ71
2.28444E+12,1662694897,155815,58,39,2,2,11,200,NZHL Dumpstars,155815,155815,172622565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71240,defenseMen,1,60,85,65,3,1,0,0,0,0,5,0,0,4,4,13,7,53.85,0,0,0,4,93,0,0,0,0,0,0,0,1,2381,ll SiZZLe ll
2.28444E+12,1662694897,,,,,,,,,,155815,263215084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71240,rightWing,3,45,100,55,3,1,0,0,0,0,0,4,0,1,0,10,9,90,1,2,0,4,70,0,0,0,10,50,80,5,0,2381,l Volcom x 28 l
2.28444E+12,1662694897,,,,,,,,,,155815,798571274,0,0,0,1,4,6,0,0,0,0,0,0.64,7,11,0,71240,goalie,0,70,50,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2379,TheKingGeese
2.28444E+12,1662694897,,,,,,,,,,155815,828746998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71240,leftWing,4,50,100,40,4,0,0,0,0,0,2,3,0,0,0,10,10,100,0,2,0,4,88,1,0,0,3,100,100,3,0,2311,Hoopla l19l
2.28444E+12,1662694897,,,,,,,,,,155815,1689355993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71240,center,5,55,100,60,5,1,0,11,47.62,10,10,1,0,0,4,16,7,43.75,0,0,0,4,224,0,0,0,2,50,100,1,3,2381,Melvin x 94
2.28444E+12,1662694897,,,,,,,,,,71240,6850114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155815,rightWing,3,45,80,60,1,0,0,0,100,1,0,1,0,2,1,11,9,81.82,0,0,0,-4,122,1,0,0,5,80,25,4,1,2381,I CashMoney20 l
2.28444E+12,1662694897,,,,,,,,,,71240,176205460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155815,defenseMen,1,20,60,70,0,1,0,0,0,0,2,0,0,3,4,10,7,70,2,0,0,-4,147,0,0,0,1,0,0,0,2,2381,OpTiC BiEbEr Xx
2.28444E+12,1662694897,,,,,,,,,,71240,190873870,0,0,1,0,9,13.5,0,0,0,0,0,0.18,2,11,0,155815,goalie,0,60,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2381,King Natzu
2.28444E+12,1662694897,,,,,,,,,,71240,300086737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155815,center,5,45,75,65,2,0,0,10,50,10,7,0,0,2,5,18,14,77.78,0,2,0,-4,143,0,0,0,3,66.67,0,2,2,2318,Suzuki x 61
2.28444E+12,1662694897,,,,,,,,,,71240,385248876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155815,leftWing,4,35,100,35,0,0,0,0,0,0,4,3,0,0,0,5,3,60,0,2,0,-4,115,0,0,0,8,50,75,4,0,2331,Devilcore98
2.28444E+12,1662694897,,,,,,,,,,71240,853024415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155815,defenseMen,2,10,60,60,0,1,0,0,0,0,3,0,0,1,6,17,12,70.59,0,0,0,-4,218,0,2,0,1,0,0,0,1,2381,zNobodyCares
2.2828E+12,1662693531,71240,32,25,0,1,10,195,Anxiety,71240,155815,960725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71240,defenseMen,2,40,60,40,1,0,0,0,0,0,2,0,0,0,1,3,2,66.67,0,2,0,0,35,0,0,0,0,0,0,0,0,1081,JDJ71
2.2828E+12,1662693531,155815,35,26,0,0,5,59,NZHL Dumpstars,155815,155815,172622565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71240,defenseMen,1,50,55,55,0,1,0,0,0,0,3,0,0,0,7,13,9,69.23,0,0,1,0,70,0,0,0,0,0,0,0,2,1200,ll SiZZLe ll
2.2828E+12,1662693531,,,,,,,,,,155815,263215084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71240,rightWing,3,50,80,35,0,0,0,0,100,1,0,2,0,0,2,8,7,87.5,0,2,0,0,34,0,1,0,3,100,66.67,3,2,1199,l Volcom x 28 l
2.2828E+12,1662693531,,,,,,,,,,155815,798571274,0,0,0,0,3,9,0,0,0,0,0,0.7,7,10,0,71240,goalie,0,60,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,TheKingGeese
2.2828E+12,1662693531,,,,,,,,,,155815,828746998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71240,leftWing,4,45,70,55,2,0,0,0,0,0,2,0,0,1,1,5,4,80,0,0,0,0,62,0,0,0,1,0,0,0,1,1200,Hoopla l19l
2.2828E+12,1662693531,,,,,,,,,,155815,1689355993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71240,center,5,50,75,70,1,0,0,9,47.06,8,2,1,0,2,3,5,3,60,0,0,0,0,39,0,0,0,0,0,0,0,1,1200,Melvin x 94
2.2828E+12,1662693531,,,,,,,,,,71240,6850114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155815,rightWing,3,50,50,50,0,0,0,0,0,0,0,1,0,0,0,1,1,100,0,0,0,1,8,0,0,0,1,100,100,1,0,98,I CashMoney20 l
